date,BYR,USD,EUR,KZT,UAH
24/01/2003,0.016403300000000003,31.811,34.1205,0.20501000000000003,5.9432
01/02/2003,0.0162562,31.8345,34.429,0.205576,5.94182
01/03/2003,0.015988699999999998,31.5729,33.9409,0.20819400000000002,5.89454
01/04/2003,0.0156963,31.3801,33.9815,0.206202,5.85471
01/05/2003,0.015331,31.1021,34.5513,0.204875,5.77205
01/06/2003,0.0150078,30.709,36.4669,0.204125,5.63882
01/07/2003,0.0147152,30.3809,34.7223,0.205946,5.64921
01/08/2003,0.014570399999999999,30.2791,34.3395,0.20635799999999999,5.64751
01/09/2003,0.014517200000000001,30.5036,33.2001,0.206829,5.67055
01/10/2003,0.0144789,30.6142,35.6043,0.205656,5.6789700000000005
01/11/2003,0.0140383,29.9451,34.7992,0.20292300000000002,5.5546500000000005
01/12/2003,0.0138432,29.7387,35.5021,0.202809,5.51687
01/01/2004,0.013575100000000001,29.4545,37.0979,0.20567,5.474
01/02/2004,0.0131915,28.4937,35.3635,0.204323,5.27896
01/03/2004,0.0132329,28.5156,35.5076,0.20509799999999997,5.2939
01/04/2004,0.013260999999999998,28.5151,34.9082,0.205346,5.2941
01/05/2004,0.0134213,28.9612,34.6289,0.209668,5.40129
01/06/2004,0.013446,28.9993,35.3907,0.21172000000000002,5.43363
01/07/2004,0.0134428,29.0471,35.0889,0.21367899999999998,5.443
01/08/2004,0.013455199999999999,29.1019,35.0532,0.213478,5.455
01/09/2004,0.0135205,29.2591,35.3713,0.21452100000000002,5.47267
01/10/2004,0.0134572,29.2224,36.0312,0.217488,5.43157
01/11/2004,0.013208399999999999,28.7655,36.6472,0.217885,5.34595
01/12/2004,0.0128957,28.1496,37.3264,0.21645199999999998,5.25728
01/01/2005,0.0127492,27.7487,37.8409,0.21343800000000002,5.1233699999999995
01/02/2005,0.0129161,28.1136,36.5899,0.216228,5.28382
01/03/2005,0.0128099,27.7007,36.72,0.212837,5.22822
01/04/2005,0.0129155,27.8548,36.0274,0.21023499999999998,5.32108
01/05/2005,0.012898699999999999,27.7726,36.0072,0.211391,5.46974
01/06/2005,0.0131016,28.1946,34.9134,0.21324,5.5555900000000005
01/07/2005,0.013303800000000001,28.6282,34.6258,0.21209,5.67558
01/08/2005,0.0133166,28.6341,34.716,0.210728,5.6852
01/09/2005,0.0132644,28.5566,34.879,0.211038,5.65612
01/10/2005,0.0132558,28.5348,34.3074,0.213347,5.59429
01/11/2005,0.0132476,28.503,34.3946,0.212574,5.54059
01/12/2005,0.013381800000000001,28.7792,33.9393,0.21463100000000002,5.66375
01/01/2006,0.013363400000000001,28.7825,34.185,0.215337,5.67232
01/02/2006,0.0130756,28.1305,34.0492,0.213002,5.49284
01/03/2006,0.0130665,28.1211,33.3291,0.215807,5.50315
01/04/2006,0.0128746,27.6996,33.6273,0.215729,5.42258
01/05/2006,0.0126848,27.2739,34.1906,0.21917,5.37279
01/06/2006,0.0125603,26.9355,34.7064,0.222155,5.3830100000000005
01/07/2006,0.012571500000000001,26.9423,34.2383,0.22770700000000002,5.34824
01/08/2006,0.0125158,26.8197,34.2112,0.22661,5.32
01/09/2006,0.012478,26.7295,34.318,0.213213,5.290979999999999
01/10/2006,0.012505200000000001,26.7799,33.9783,0.21049199999999998,5.29896
01/11/2006,0.0125036,26.7811,33.9852,0.209511,5.28414
01/12/2006,0.0122874,26.3081,34.6899,0.205628,5.20303
01/01/2007,0.012290599999999999,26.3311,34.6965,0.207609,5.21987
01/02/2007,0.0123467,26.5484,34.3802,0.21032299999999998,5.23823
01/03/2007,0.0121718,26.1481,34.539,0.21000800000000003,5.16567
01/04/2007,0.0121237,26.0113,34.6861,0.210061,5.13966
01/05/2007,0.011947900000000001,25.6851,35.0653,0.213842,5.082330000000001
01/06/2007,0.012049200000000001,25.9043,34.8128,0.211337,5.13709
01/07/2007,0.0120187,25.8162,34.715,0.21101099999999998,5.11465
01/08/2007,0.0118917,25.5448,35.0015,0.206631,5.07778
01/09/2007,0.011914300000000001,25.6262,35.0233,0.202803,5.095280000000001
01/10/2007,0.011601,24.9493,35.3457,0.206255,4.95517
01/11/2007,0.011457499999999999,24.6724,35.6492,0.204098,4.877129999999999
01/12/2007,0.0113252,24.4171,36.0055,0.20202,4.81239
01/01/2008,0.011389699999999999,24.5462,35.9332,0.203492,4.82357
01/02/2008,0.0113498,24.4262,36.29,0.203185,4.7900100000000005
01/03/2008,0.011176199999999999,24.0023,36.5099,0.198601,4.70975
01/04/2008,0.010944200000000001,23.5027,37.0873,0.194725,4.66203
01/05/2008,0.0110478,23.6588,36.8959,0.19649899999999998,4.73583
01/06/2008,0.0111144,23.7384,36.7827,0.196848,4.93501
01/07/2008,0.011014300000000001,23.4068,36.971,0.193826,4.96359
01/08/2008,0.0110752,23.4186,36.5752,0.19483,5.01576
01/09/2008,0.0116368,24.5769,36.2264,0.20550999999999997,5.285349999999999
01/10/2008,0.0120046,25.3718,36.4999,0.211555,5.0052900000000005
01/11/2008,0.0128214,27.0981,34.4092,0.226138,4.52767
01/12/2008,0.012888,27.606,35.7166,0.22933299999999998,3.74319
01/01/2009,0.0133537,29.3916,41.4275,0.242475,3.82952
01/02/2009,0.013005699999999999,35.4146,45.6636,0.290212,4.5564
01/03/2009,0.0125291,35.7205,45.3543,0.23705400000000001,4.2024099999999995
01/04/2009,0.011946199999999999,33.9032,44.8946,0.224651,4.21158
01/05/2009,0.0116681,32.974,43.9939,0.21861,4.060840000000001
01/06/2009,0.0111214,30.9843,43.378,0.205889,4.05288
01/07/2009,0.0109368,31.0385,43.8512,0.206222,4.05732
01/08/2009,0.010931,31.1533,43.9978,0.20668299999999998,3.8796100000000004
01/09/2009,0.011266700000000001,31.8397,45.4321,0.211097,3.7657800000000003
01/10/2009,0.0108531,30.0087,43.8877,0.198812,3.60898
01/11/2009,0.0105863,29.0488,43.0678,0.19267600000000001,3.5339199999999997
01/12/2009,0.0104451,29.0687,43.7658,0.195486,3.6267899999999997
01/01/2010,0.0105395,30.1851,43.4605,0.20323899999999998,3.7497
01/02/2010,0.010540800000000001,30.4312,42.4637,0.205686,3.7896900000000002
01/03/2010,0.0102178,29.9484,40.8047,0.203281,3.7332799999999997
01/04/2010,0.009901199999999999,29.4956,39.5713,0.20069099999999998,3.6999000000000004
01/05/2010,0.0098426,29.1537,38.6986,0.199042,3.65885
01/06/2010,0.0102433,30.74,37.8133,0.209579,3.8788600000000004
01/07/2010,0.0103529,31.2554,38.2097,0.21180800000000002,3.94569
01/08/2010,0.0101434,30.1869,39.4694,0.20435199999999998,3.82316
01/09/2010,0.0102446,30.8669,39.0127,0.20948699999999998,3.91364
01/10/2010,0.010133699999999999,30.5126,41.4392,0.206746,3.8438600000000003
01/11/2010,0.0102198,30.7821,42.7256,0.20864999999999997,3.87172
01/12/2010,0.010334300000000001,31.3335,41.0814,0.212229,3.93316
01/01/2011,0.010113500000000001,30.3505,40.4876,0.20582899999999998,3.80929
01/02/2011,0.0098944,29.8018,40.5811,0.20271999999999998,3.75101
01/03/2011,0.009561,28.9028,39.8136,0.197992,3.6412999999999998
01/04/2011,0.00936185,28.5162,40.3875,0.19567199999999998,3.57682
01/05/2011,0.00912482,27.5022,40.8078,0.18886299999999998,3.4528799999999995
01/06/2011,0.00562083,27.9805,40.2444,0.19240500000000002,3.50655
01/07/2011,0.005613819999999999,27.8726,40.4153,0.19110499999999997,3.48909
01/08/2011,0.00559071,27.6796,39.5182,0.18913900000000003,3.4612499999999997
01/09/2011,0.00567546,28.9278,41.7631,0.19733799999999999,3.62005
01/10/2011,0.00569326,32.11,43.4191,0.216864,4.015610000000001
01/11/2011,0.0035440600000000004,30.1245,42.1833,0.20384,3.76321
01/12/2011,0.0036511699999999996,31.4001,41.7559,0.212572,3.91498
01/01/2012,0.00385582,32.1961,41.6714,0.216874,4.00549
01/02/2012,0.00362164,30.3131,39.9678,0.204039,3.7731000000000003
01/03/2012,0.00359669,29.0253,39.1029,0.196475,3.63066
01/04/2012,0.00363423,29.3282,39.1707,0.198371,3.65165
01/05/2012,0.00364754,29.3627,38.9203,0.19871200000000003,3.6547600000000005
01/06/2012,0.00394219,32.9173,40.8076,0.222347,4.07367
01/07/2012,0.00393488,32.8169,41.323,0.21962099999999998,4.062250000000001
01/08/2012,0.0039037300000000002,32.2058,39.5101,0.21467,3.97735
01/09/2012,0.0038724,32.5669,40.7249,0.21762,4.010949999999999
01/10/2012,0.00366314,30.9169,39.9786,0.205982,3.79442
01/11/2012,0.00367811,31.3743,40.6548,0.208052,3.83643
01/12/2012,0.00359103,30.811,40.0759,0.204697,3.7621200000000004
01/01/2013,0.0035337600000000004,30.3727,40.2286,0.20210699999999998,3.7590000000000003
01/02/2013,0.0034781100000000004,30.0161,40.7138,0.19898,3.69429
01/03/2013,0.00354178,30.5124,40.1024,0.202936,3.74477
01/04/2013,0.00358104,31.0834,39.8023,0.20600000000000002,3.8162599999999998
01/05/2013,0.0035971400000000004,31.0433,40.6264,0.20531300000000002,3.82189
01/06/2013,0.00365914,31.7979,41.4486,0.209922,3.9044600000000003
01/07/2013,0.00372116,32.709,42.718,0.215673,4.010669999999999
01/08/2013,0.00371366,33.033,43.7786,0.21516400000000002,4.0676000000000005
01/09/2013,0.00368801,33.2474,44.0129,0.216899,4.093249999999999
01/10/2013,0.0035677,32.4839,43.8143,0.21120899999999998,3.9658
01/11/2013,0.0034657800000000003,32.0758,43.9406,0.208014,3.9176499999999996
01/12/2013,0.0035499000000000004,33.1916,45.187,0.215663,4.0443
01/01/2014,0.0034233400000000004,32.6587,45.0559,0.21175999999999998,3.9634300000000002
01/02/2014,0.00364182,35.18,47.6408,0.22623100000000002,4.1856
01/03/2014,0.0036942,36.1847,49.5839,0.196347,3.3817500000000003
01/04/2014,0.00360013,35.6053,48.968,0.195537,3.16492
01/05/2014,0.0035758499999999998,35.7227,49.3188,0.196219,3.11989
01/06/2014,0.0034459499999999997,34.7352,47.2677,0.189303,2.94366
01/07/2014,0.00331798,33.8434,46.1827,0.184418,2.88029
01/08/2014,0.0034344799999999997,35.4438,47.4699,0.19364,2.89692
01/09/2014,0.0035409,36.9316,48.6315,0.20291,2.73567
01/10/2014,0.0037119300000000004,39.3836,49.9817,0.21647099999999997,3.0412
01/11/2014,0.00391078,41.9627,52.7219,0.232011,3.2272799999999995
01/12/2014,0.00453327,49.322,61.4108,0.272542,3.2831
01/01/2015,0.00387846,56.2376,68.3681,0.308143,3.55525
01/02/2015,0.0044100499999999996,68.9291,78.1105,0.37371099999999996,4.32993
01/03/2015,0.00409845,61.2718,68.6857,0.330663,2.07701
01/04/2015,0.00392177,57.65,62.0487,0.310447,2.45842
01/05/2015,0.00358366,51.1388,57.1578,0.275236,2.40653
01/06/2015,0.0035611199999999997,52.9716,58.0145,0.28485499999999997,2.5105
01/07/2015,0.00365813,55.8413,62.3803,0.299883,2.65911
01/08/2015,0.0039649,60.3458,66.0002,0.321947,2.85323
01/09/2015,0.00383862,66.7152,74.8478,0.27856000000000003,3.06737
01/10/2015,0.00371917,65.7364,73.776,0.242588,3.08549
01/11/2015,0.0036901200000000003,64.3742,70.7537,0.229859,2.7928100000000002
01/12/2015,0.0036957,66.737,70.6478,0.216996,2.80998
01/01/2016,0.0039041699999999998,72.9299,79.6395,0.213821,3.0352
01/02/2016,0.00360971,75.1723,81.9077,0.206961,2.95954
01/03/2016,0.00353185,75.8994,83.1023,0.21701,2.80072
01/04/2016,0.00336834,67.8552,76.9207,0.19741399999999998,2.5849599999999997
01/05/2016,0.0033472099999999998,64.3334,73.3015,0.196618,2.55291
01/06/2016,0.00333483,65.9962,73.4406,0.19654,2.62358
01/07/2016,,64.1755,71.2926,0.189448,2.5846
01/08/2016,,67.0512,74.3799,0.190273,2.70368
01/09/2016,,65.2535,72.6859,0.19169899999999998,2.50013
01/10/2016,,63.396,70.9338,0.188946,2.44348
01/11/2016,,63.2174,69.2863,0.188664,2.47911
01/12/2016,,65.2382,69.3417,0.19091999999999998,2.54837
01/01/2017,,60.6569,63.8111,0.181637,2.23826
01/02/2017,,60.0851,64.285,0.18574300000000002,2.2163399999999998
01/03/2017,,57.9627,61.3883,0.18537700000000001,2.13333
01/04/2017,,55.9606,59.8107,0.178432,2.0707
01/05/2017,,56.9838,62.044,0.181226,2.14669
01/06/2017,,56.6876,63.4107,0.181531,2.1548100000000003
01/07/2017,,59.3862,67.8072,0.183719,2.28058
01/08/2017,,60.0633,70.4603,0.18218399999999998,2.32308
01/09/2017,,58.5454,69.6222,0.173291,2.2767
01/10/2017,,58.0169,68.4483,0.170075,2.1815
01/11/2017,,58.1179,67.6434,0.17363900000000002,2.16373
01/12/2017,,58.5814,69.5185,0.176847,2.1565000000000003
01/01/2018,,57.6002,68.8668,0.173184,2.04955
01/02/2018,,56.184,69.9322,0.17416,2.0181
01/03/2018,,56.3742,68.9062,0.17596299999999998,2.10351
01/04/2018,,57.2649,70.5618,0.17982900000000002,2.1761299999999997
01/05/2018,,61.9997,75.2056,0.189546,2.36369
01/06/2018,,62.0188,72.5806,0.188281,2.37483
01/07/2018,,62.7565,72.9921,0.183843,2.38527
01/08/2018,,62.3497,73.0738,0.17957599999999999,2.3199899999999998
01/09/2018,,68.0447,79.4966,0.187126,2.4086600000000002
01/10/2018,,65.5906,76.2294,0.180626,2.32056
01/11/2018,,65.5962,74.4189,0.17775300000000002,2.3348
01/12/2018,,66.5335,75.7484,0.178169,2.35508
01/01/2019,,69.4706,79.4605,0.18056999999999998,2.50706
01/02/2019,,65.3577,75.2006,0.171867,2.35499
01/03/2019,,65.8895,74.9691,0.17573799999999998,2.45673
01/04/2019,,64.7347,72.723,0.170498,2.38008
01/05/2019,,64.6314,72.3096,0.169558,2.44839
01/06/2019,,65.3834,72.8436,0.170928,2.4333
01/07/2019,,63.0756,71.8179,0.16575900000000002,2.41161
01/08/2019,,63.4172,70.7355,0.164966,2.53276
01/09/2019,,66.4897,73.3847,0.171686,2.6458500000000003
01/10/2019,,64.6407,70.7169,0.166503,2.67497
01/11/2019,,63.7748,71.1918,0.164083,2.56843
01/12/2019,,64.0817,70.5475,0.165875,2.67341
01/01/2020,,61.9057,69.3777,0.161665,2.61205
01/02/2020,,63.1385,69.5976,0.16653700000000002,2.5229600000000003
01/03/2020,,66.9909,73.7235,0.17554099999999997,2.7257000000000002
01/04/2020,,77.7325,85.7389,0.17427800000000002,2.75213
01/05/2020,,72.7263,79.1189,0.171298,2.6979800000000003
01/06/2020,,70.752,78.5489,0.17164300000000002,2.62872
01/07/2020,,70.4413,78.9929,0.174099,2.64194
01/08/2020,,73.4261,87.2889,0.174086,2.65196
01/09/2020,,73.8039,87.8266,0.175623,2.67537
01/10/2020,,78.7847,92.4302,0.18199500000000002,2.78337
01/11/2020,,79.3323,92.6284,0.183154,2.78971
01/12/2020,,76.1999,91.2037,0.179066,2.67321
01/01/2021,,73.8757,90.7932,0.17525200000000002,2.60711
01/02/2021,,76.2527,92.2963,0.179782,2.7094
01/03/2021,,74.4373,90.3743,0.17825500000000002,2.66296
01/04/2021,,75.6373,88.7452,0.17780100000000001,2.71942
01/05/2021,,74.8451,90.585,0.174178,2.69783
01/06/2021,,73.2965,89.3778,0.170912,2.66893
01/07/2021,,72.7234,86.5118,0.16977799999999998,2.67074
01/08/2021,,73.1388,86.9913,0.171891,2.7271799999999997
01/09/2021,,73.2781,86.666,0.17175200000000002,2.72558
01/10/2021,,72.6642,84.305,0.170653,2.7288699999999997
01/11/2021,,70.52,82.2898,0.16494,2.68152
01/12/2021,,74.8926,84.8234,0.170443,2.74319
01/01/2022,,74.2926,84.0695,0.16899999999999998,2.7258400000000003
01/02/2022,,77.4702,86.5032,0.178379,2.71136
01/03/2022,,93.5589,104.4772,0.188393,3.10053
01/04/2022,,83.4097,92.493,0.177349,2.82427
01/05/2022,,71.0237,74.5589,0.158362,2.34698
01/06/2022,,61.6069,62.7397,0.144147,2.0778
19/07/2022,,56.5616,57.1526,0.11774599999999999,1.91419
